sentence,hate,harassment_type,severity
আমার ঘড়ির দাম টাকা😥😥😥,0,none,1
তরে আমি গোয়াইম,0,none,2
তাহেরির গান শুনে কে জারা শুনে তারাও তাহেরির মত পাগল ছাগল,0,none,1
গল্প সুন্দর না তবে নাটকটা দেখেছি তিশার জন্য,0,none,2
"""ফকিরা, আপ্নারে হাতুড়ির বাড়ি দেয়নের কাম"" কইতে মন চায়!  কিন্তু আফসোস... বলতেও পারিনা!",0,none,2
সাকিব তুমি বাংলাদেশী কিন্তু বাংলাদেশের কলুষিত রাজনীতি টা জানলে না🤔,0,none,1
"থাক, কি দরকার এসব লেখার স্যার...!",0,none,2
কটোর শাস্তি দেওয়া হোক,0,none,2
একাই একশ,0,none,2
একটা মানুষ কয়বার মরে!!!,0,none,2
ঘুমালে হিসাব থাকেনা,0,none,2
ভাই আপনি ওকে জূতা মারার বেভছতা করুন,0,none,2
পাপের রাজ্জে ভাল মানুষের মুল্য নেই,0,none,2
বর্ষার গেন্জির আনারস দেখে মধুপুরের আনারস চত্তর এর কথা মনে পড়লো,0,none,2
নায়ক আসলে কে?,0,none,2
ডিসি এবং ঐ মাগি দুজনেই খানকির পোলা।,1,hate_speech,4
তামিমকে থেকে বাদ দিতে পারে বললেন দেখুন কি বললেন👉,0,none,2
ভাই মিথিলা একজন পতিতা।পতিতার মুখে সবাই জুতা মারাতে হবে,1,threat,4
ধন্যবাদ জনাব ভাল লাগল,0,none,1
জুতা মারি তোর গালে তাহেরী,0,none,2
? আমি একজন চুলের নায়িকা কে হাঁটতে দেখলাম। 🥺,0,none,1
সবই হলো জামায়াত শিবিরে পরিকল্পনা জয় বাংলা 🤣😅😂,0,none,2
কোন কি মিরাকল ঘটতে পারে না যাতে তারা আবার এক হয়ে যায়,0,none,1
কমেন্ট পড়ে মজা নাও😂😂 Reazul Islam Md Mehedi Hassan Badhon Sâ Kîß Hõqûë JU W EL Marganul Farhan Shaitto,0,none,2
এটা তো একটা ছাগলের বাচ্চা,1,hate_speech,5
মুক্তিযুদ্ধকালে গুহাবাসীর মুক্তিযুদ্ধের চেতনা লালন করা আর আদার ব্যাপারীর জাহাজের খবর নেয়া একই কথা। ভাবছিলাম আজকেও হইত আপনি হড় হড় করে বমি করবেন। মাশাল্লাহ আপনি তো সুস্থ হয়ে গেছেন দেখছি।  আর শেষে লেখবেন বাচ্চারা তো রাস্তায় না নেমেও এমারজেন্সি লেন করতে পারত বা ট্রাফিক নিয়ন্ত্রণ করতে পারত।  তাই পুরো লেখাটা পড়লাম।  কিন্তু হতাস হলাম। ও হ্যা আপনার গায়েবানা জানাজা বাতিল করা হয়েছিল।,0,none,1
খানকির পোলা মাদারচোদ,1,sexual_harassment,3
সবাই চেনেটার জন্য রিপোট করিন এগুলা সব মিছা বলছে,0,none,2
সালা তোর তদন্ত তুই করছ,1,hate_speech,3
মিন্নীরে ত্রখন কেনো আইনের আলতায় আনা হয়ছে না ওবারবার নয়নরে জরিয়ে দরতেছে স্বামীকে জোর করে দরে নিতেছে ওসাবাবিক বাভে হেটে যাচ্ছে ৷,0,none,2
শাকিব খানকে চলচ্চিত্র থেকে বহিষ্কার করা হোক আমরা তাই চাই,0,none,2
