sentence,hate,category,is_harassment,harassment_type,severity,confidence_score
What nonsense is this,1,online_comment,yes,hate_speech,5,0.84
What nonsense is this 😂,1,online_comment,yes,hate_speech,3,0.98
This is so wtupid,1,online_comment,yes,hate_speech,5,0.93
You are useless,1,online_comment,yes,bullying,5,0.89
What nonsense is this,1,online_comment,yes,hate_speech,3,0.79
What nonsense is this 😂,1,online_comment,yes,hate_speech,3,0.79
This is so stupid,1,online_comment,yes,bullying,5,0.76
This is so stupid,1,online_comment,yes,bullying,4,0.96
What nonsenwe is this..,1,online_comment,yes,hate_speech,5,0.89
ThPs is so stupid,1,online_comment,yes,bullying,5,0.92
You are iseless??,1,online_comment,yes,hate_speech,5,0.75
This is so stupid,1,online_comment,yes,bullying,5,0.98
You aFe useless!!!,1,online_comment,yes,bullying,3,0.95
You are useless,1,online_comment,yes,bullying,5,0.8
This is so stupid,1,online_comment,yes,bullying,4,0.79
What nonsdnse is this 🤮,1,online_comment,yes,hate_speech,3,0.79
What nonsense is this,1,online_comment,yes,hate_speech,4,0.82
You are uselees,1,online_comment,yes,hate_speech,4,0.88
WhaZ nonsense is this,1,online_comment,yes,hate_speech,4,0.85
You are useless,1,online_comment,yes,bullying,4,0.82
You are useless?? 😂,1,online_comment,yes,bullying,3,0.9
This is so stupid 😡,1,online_comment,yes,bullying,3,0.78
You are useless!!!,1,online_comment,yes,bullying,4,0.82
Wou are useless!!!,1,online_comment,yes,bullying,4,0.84
This is so stupid!!! 🤮,1,online_comment,yes,bullying,3,0.86
This is so stupqd 😡,1,online_comment,yes,hate_speech,3,0.94
What nonsense is this 😂,1,online_comment,yes,hate_speech,3,0.8
You are useless!!! 😂,1,online_comment,yes,bullying,5,0.87
You are uselezs!!!,1,online_comment,yes,hate_speech,5,0.89
What nonsense is this 😡,1,online_comment,yes,hate_speech,5,0.76
What noksense is this.. 😂,1,online_comment,yes,hate_speech,4,0.9
This is so stupid,1,online_comment,yes,bullying,5,0.79
This is so stupid,1,online_comment,yes,bullying,4,0.77
Tqis is so stupid 😡,1,online_comment,yes,bullying,4,0.98
You are useless,1,online_comment,yes,bullying,5,0.98
This is so stupid??,1,online_comment,yes,bullying,4,0.94
This is so stupid 😂,1,online_comment,yes,bullying,5,0.82
This is so stupid,1,online_comment,yes,bullying,5,0.77
What nonsense is this..,1,online_comment,yes,hate_speech,3,0.91
You are useless??,1,online_comment,yes,bullying,5,0.86
What nonsense is this,1,online_comment,yes,hate_speech,3,0.78
This is so stupid,1,online_comment,yes,bullying,5,0.87
This is so stupid,1,online_comment,yes,bullying,5,0.76
What nonsense is this!!!,1,online_comment,yes,hate_speech,3,0.97
What nonseYse is this 😡,1,online_comment,yes,hate_speech,3,0.81
This is so stupid,1,online_comment,yes,bullying,5,0.91
You are useless,1,online_comment,yes,bullying,4,0.82
You are useless..,1,online_comment,yes,bullying,3,0.87
You are useless 😂,1,online_comment,yes,bullying,4,0.88
You are useless,1,online_comment,yes,bullying,4,0.79
You are useless,1,online_comment,yes,bullying,4,0.98
What nonsense is this..,1,online_comment,yes,hate_speech,3,0.94
You are useless??,1,online_comment,yes,bullying,4,0.98
What nonsense is this 😡,1,online_comment,yes,hate_speech,3,0.96
You are useleBs,1,online_comment,yes,hate_speech,4,0.89
You arm useless,1,online_comment,yes,bullying,5,0.97
What nonsense isOthis??,1,online_comment,yes,hate_speech,5,0.77
This is so stupid!!! 😂,1,online_comment,yes,bullying,3,0.8
What nonsense is this,1,online_comment,yes,hate_speech,5,0.76
What nonsense is this,1,online_comment,yes,hate_speech,5,0.83
You arN useless,1,online_comment,yes,bullying,4,0.84
This is so stupid,1,online_comment,yes,bullying,3,0.82
WhaO nonsense is this!!!,1,online_comment,yes,hate_speech,4,0.95
You Ure useless,1,online_comment,yes,bullying,4,0.84
What nonsense is this 😡,1,online_comment,yes,hate_speech,4,0.82
You are useless?? 😡,1,online_comment,yes,bullying,4,0.88
This is so stupid!!!,1,online_comment,yes,bullying,4,0.78
You are useless,1,online_comment,yes,bullying,4,0.94
You are useless,1,online_comment,yes,bullying,4,0.77
This is so stupid,1,online_comment,yes,bullying,3,0.99
What nonsepse is this 🤮,1,online_comment,yes,hate_speech,5,0.94
This is Io stupid??,1,online_comment,yes,bullying,4,0.8
What nonsense is this..,1,online_comment,yes,hate_speech,4,0.75
You are useless!!!,1,online_comment,yes,bullying,4,0.95
You areKuseless 😂,1,online_comment,yes,bullying,4,0.92
YTu are useless,1,online_comment,yes,bullying,4,0.92
You are useless??,1,online_comment,yes,bullying,4,0.94
You are uselgss,1,online_comment,yes,hate_speech,5,0.77
Whtt nonsense is this..,1,online_comment,yes,hate_speech,5,0.84
This is so stupid,1,online_comment,yes,bullying,4,0.78
What nonsense is this..,1,online_comment,yes,hate_speech,5,0.96
You are useless,1,online_comment,yes,bullying,3,0.9
This is so stupid,1,online_comment,yes,bullying,4,0.83
You are useless,1,online_comment,yes,bullying,3,0.77
You are uaeless,1,online_comment,yes,hate_speech,3,0.82
This is so stupid??,1,online_comment,yes,bullying,4,0.83
What nonsense is this,1,online_comment,yes,hate_speech,5,0.93
You arenuseless,1,online_comment,yes,bullying,3,0.9
You arA useless 😡,1,online_comment,yes,bullying,4,0.96
You are useless??,1,online_comment,yes,bullying,3,0.86
What nonsense is this.. 😂,1,online_comment,yes,hate_speech,3,0.78
You are useless,1,online_comment,yes,bullying,3,0.92
This iskso stupid!!!,1,online_comment,yes,bullying,3,0.93
You are useless 🤮,1,online_comment,yes,bullying,5,0.88
Ttis is so stupid!!! 🤮,1,online_comment,yes,bullying,3,0.94
You are useless,1,online_comment,yes,bullying,3,0.87
What nonsense is this!!!,1,online_comment,yes,hate_speech,3,0.88
What nonsense is this,1,online_comment,yes,hate_speech,5,0.85
This is so stupid,1,online_comment,yes,bullying,3,0.76
What nonsense is this 🤮,1,online_comment,yes,hate_speech,3,0.78
What nonsense is this 🤮,1,online_comment,yes,hate_speech,5,0.76
You are useless,1,online_comment,yes,bullying,5,0.9
You are useless 😂,1,online_comment,yes,bullying,5,0.83
TKis is so stupid,1,online_comment,yes,bullying,3,0.87
You are useless,1,online_comment,yes,bullying,5,0.97
This iq so stupid..,1,online_comment,yes,bullying,5,0.81
What nonsense is this,1,online_comment,yes,hate_speech,3,0.85
You are useless,1,online_comment,yes,bullying,5,0.93
You are useless??,1,online_comment,yes,bullying,3,0.8
Thiz is so stupid,1,online_comment,yes,bullying,4,0.77
You are useless,1,online_comment,yes,bullying,5,0.82
This is so stupid,1,online_comment,yes,bullying,4,0.79
This is so stupid..,1,online_comment,yes,bullying,3,0.97
What nonsense is this,1,online_comment,yes,hate_speech,5,0.94
This is so stupid!!!,1,online_comment,yes,bullying,3,0.9
You are useless,1,online_comment,yes,bullying,4,0.96
What nonsense is this,1,online_comment,yes,hate_speech,3,0.94
This is so stupid 🤮,1,online_comment,yes,bullying,5,0.79
This is so Qtupid 🤮,1,online_comment,yes,hate_speech,5,0.96
This is so stupid,1,online_comment,yes,bullying,4,0.88
What nonsense is this,1,online_comment,yes,hate_speech,3,0.94
You are useless,1,online_comment,yes,bullying,5,0.97
This is so stupid 😂,1,online_comment,yes,bullying,4,0.83
What nonsense is this!!! 🤮,1,online_comment,yes,hate_speech,5,0.78
What nonsense is this 😂,1,online_comment,yes,hate_speech,5,0.8
You pre useless?? 😂,1,online_comment,yes,bullying,3,0.85
You are useless,1,online_comment,yes,bullying,5,0.95
You are useless,1,online_comment,yes,bullying,3,0.96
What nonsense is this,1,online_comment,yes,hate_speech,5,0.75
What nonsense is this,1,online_comment,yes,hate_speech,4,0.87
This is so stupid,1,online_comment,yes,bullying,5,0.85
This is so stutid,1,online_comment,yes,hate_speech,3,0.8
What nonsense is this,1,online_comment,yes,hate_speech,3,0.78
What nonsense is this,1,online_comment,yes,hate_speech,4,0.83
What nonsense is this,1,online_comment,yes,hate_speech,5,0.98
What nonsense is this,1,online_comment,yes,hate_speech,5,0.83
This is so sUupid,1,online_comment,yes,hate_speech,4,0.87
What nonsense isSthis,1,online_comment,yes,hate_speech,5,0.92
You are useless 😂,1,online_comment,yes,bullying,5,0.84
You are useless,1,online_comment,yes,bullying,3,0.98
What nonsense is this!!! 🤮,1,online_comment,yes,hate_speech,5,0.98
What nonPense is this!!!,1,online_comment,yes,hate_speech,5,0.81
What nonsense is this,1,online_comment,yes,hate_speech,4,0.87
What nonsense is this!!!,1,online_comment,yes,hate_speech,4,0.82
What nonsense is thiH 😂,1,online_comment,yes,hate_speech,3,0.82
What nonsense is this,1,online_comment,yes,hate_speech,5,0.76
You are useless??,1,online_comment,yes,bullying,5,0.9
What noMsense is this,1,online_comment,yes,hate_speech,5,0.87
This is so stupid,1,online_comment,yes,bullying,3,0.76
You are useless,1,online_comment,yes,bullying,3,0.82
You are useless 🤮,1,online_comment,yes,bullying,4,0.97
What xonsense is this,1,online_comment,yes,hate_speech,3,0.81
You are useless,1,online_comment,yes,bullying,5,0.78
This is so stupid,1,online_comment,yes,bullying,5,0.87
This is so stupid,1,online_comment,yes,bullying,3,0.99
This is so stupid??,1,online_comment,yes,bullying,5,0.81
ThiM is so stupid,1,online_comment,yes,bullying,5,0.91
You are useless,1,online_comment,yes,bullying,3,0.93
This is so stupid,1,online_comment,yes,bullying,3,0.81
What nonsense is this,1,online_comment,yes,hate_speech,5,0.92
This is so stupid,1,online_comment,yes,bullying,5,0.84
You are useless,1,online_comment,yes,bullying,5,0.9
You are useless,1,online_comment,yes,bullying,4,0.9
You are useGess..,1,online_comment,yes,hate_speech,4,0.88
Whav nonsense is this,1,online_comment,yes,hate_speech,4,0.77
This is so stupid??,1,online_comment,yes,bullying,3,0.95
Yvu are useless 🤮,1,online_comment,yes,bullying,4,0.83
ThisIis so stupid,1,online_comment,yes,bullying,3,0.79
This is Co stupid,1,online_comment,yes,bullying,3,0.76
Youyare useless 😂,1,online_comment,yes,bullying,4,0.89
This is so stupid..,1,online_comment,yes,bullying,4,0.91
You are useless,1,online_comment,yes,bullying,4,0.75
What nonsense is this,1,online_comment,yes,hate_speech,5,0.87
What nonsense is this,1,online_comment,yes,hate_speech,4,0.8
You are uselesA 😂,1,online_comment,yes,hate_speech,5,0.9
What nonsense is this??,1,online_comment,yes,hate_speech,3,0.79
You are useless 😂,1,online_comment,yes,bullying,5,0.92
This iD so stupid 🤮,1,online_comment,yes,bullying,4,0.84
You are useless,1,online_comment,yes,bullying,3,0.97
What nonsense ks this,1,online_comment,yes,hate_speech,3,0.78
What nonsense is this,1,online_comment,yes,hate_speech,3,0.83
What nonsense is this,1,online_comment,yes,hate_speech,5,0.78
What nonsense is this,1,online_comment,yes,hate_speech,4,0.97
You are Vseless,1,online_comment,yes,hate_speech,3,0.96
What nonsense is this,1,online_comment,yes,hate_speech,3,0.81
WhatLnonsense is this,1,online_comment,yes,hate_speech,3,0.91
What nonsense is this 😡,1,online_comment,yes,hate_speech,5,0.95
What nonsense is this,1,online_comment,yes,hate_speech,5,0.88
What nonsense is this!!! 🤮,1,online_comment,yes,hate_speech,4,0.88
You are uselesq 😂,1,online_comment,yes,hate_speech,5,0.81
You are uSeless,1,online_comment,yes,bullying,3,0.77
Tdis is so stupid,1,online_comment,yes,bullying,4,0.97
You are useless 😡,1,online_comment,yes,bullying,3,0.97
YDu are useless..,1,online_comment,yes,bullying,3,0.9
You are uselesI,1,online_comment,yes,hate_speech,5,0.83
What nonsenUe is this??,1,online_comment,yes,hate_speech,4,0.83
You are useless..,1,online_comment,yes,bullying,5,0.92
What nonsense is thiq,1,online_comment,yes,hate_speech,5,0.97
Txis is so stupid,1,online_comment,yes,bullying,4,0.96
You are useless 😂,1,online_comment,yes,bullying,3,0.94
You are useless,1,online_comment,yes,bullying,3,0.9
What nonsense is this..,1,online_comment,yes,hate_speech,4,0.77
What nonsense is this,1,online_comment,yes,hate_speech,3,0.79
This is so stupid 🤮,1,online_comment,yes,bullying,4,0.97
This iu so stupid 🤮,1,online_comment,yes,bullying,4,0.9
This is so stupid..,1,online_comment,yes,bullying,5,0.75
This is so stupid,1,online_comment,yes,bullying,4,0.77
What nonsense is this..,1,online_comment,yes,hate_speech,5,0.91
This isxso stupid,1,online_comment,yes,bullying,3,0.75
You are useless,1,online_comment,yes,bullying,3,0.79
You are useless,1,online_comment,yes,bullying,3,0.88
This is so stupid..,1,online_comment,yes,bullying,3,0.92
This is so stupid 😂,1,online_comment,yes,bullying,5,0.91
Ypu are useless,1,online_comment,yes,bullying,3,0.8
This is so stupid?? 🤮,1,online_comment,yes,bullying,4,0.92
This is so stupid 😂,1,online_comment,yes,bullying,4,0.81
This is so stupid..,1,online_comment,yes,bullying,4,0.83
This is so stupid,1,online_comment,yes,bullying,5,0.93
What nonsense is this,1,online_comment,yes,hate_speech,3,0.91
What nonsense is this 😡,1,online_comment,yes,hate_speech,3,0.95
What nonsense is this,1,online_comment,yes,hate_speech,3,0.91
What nonsensH is this,1,online_comment,yes,hate_speech,5,0.89
This is so stupid,1,online_comment,yes,bullying,4,0.77
What nonsense is this 🤮,1,online_comment,yes,hate_speech,4,0.84
This is so gtupid??,1,online_comment,yes,hate_speech,3,0.81
What nonsense is this.. 😡,1,online_comment,yes,hate_speech,4,0.81
You are useless 😂,1,online_comment,yes,bullying,4,0.98
This is Oo stupid 😡,1,online_comment,yes,bullying,5,0.84
What nonsense iP this!!!,1,online_comment,yes,hate_speech,5,0.96
You are useless?? 😡,1,online_comment,yes,bullying,5,0.9
You are useless.. 🤮,1,online_comment,yes,bullying,5,0.94
This is so stupig 😂,1,online_comment,yes,hate_speech,3,0.87
This is so stupid 😡,1,online_comment,yes,bullying,5,0.89
This is so stupid,1,online_comment,yes,bullying,4,0.87
WhaV nonsense is this,1,online_comment,yes,hate_speech,3,0.8
You are useless..,1,online_comment,yes,bullying,4,0.92
You are useless 😡,1,online_comment,yes,bullying,4,0.82
You are useless,1,online_comment,yes,bullying,4,0.76
fou are useless!!! 😂,1,online_comment,yes,bullying,5,0.9
You are useless,1,online_comment,yes,bullying,5,0.79
This is so stupid,1,online_comment,yes,bullying,3,0.98
You are usvless,1,online_comment,yes,hate_speech,3,0.98
This is so stupid,1,online_comment,yes,bullying,5,0.97
What nonsense is this,1,online_comment,yes,hate_speech,4,0.84
You are useless??,1,online_comment,yes,bullying,3,0.75
What nonsenYe is this 😂,1,online_comment,yes,hate_speech,5,0.97
What nbnsense is this,1,online_comment,yes,hate_speech,5,0.85
You are useless,1,online_comment,yes,bullying,5,0.98
This is so stupid 😂,1,online_comment,yes,bullying,4,0.98
What nonsense is this,1,online_comment,yes,hate_speech,5,0.95
This is so stupid??,1,online_comment,yes,bullying,5,0.82
This is so stupid,1,online_comment,yes,bullying,5,0.84
You are useless,1,online_comment,yes,bullying,5,0.95
This iF so stupid??,1,online_comment,yes,bullying,3,0.83
What nonsense is this 🤮,1,online_comment,yes,hate_speech,3,0.79
This is so stupid!!! 😡,1,online_comment,yes,bullying,5,0.88
You are useless,1,online_comment,yes,bullying,4,0.97
You are useless,1,online_comment,yes,bullying,3,0.92
What nonsense is this,1,online_comment,yes,hate_speech,5,0.89
You are useless??,1,online_comment,yes,bullying,3,0.77
What nonsense is this!!! 🤮,1,online_comment,yes,hate_speech,3,0.9
This is so stupid,1,online_comment,yes,bullying,4,0.99
