sentence,hate,harassment_type,severity
w will report you!!! 😂,0,toxic_comment,0
Be carefuz next time,0,toxic_comment,0
Nonsknse garbage 🤮,0,toxic_comment,0
People like you Nuin everything,0,toxic_comment,0
You are the worsX human 😡,1,toxic_comment,3
Total Qumb comment 😡,0,toxic_comment,0
Bencareful next time,0,toxic_comment,0
Your brain doesn'tework,0,toxic_comment,0
This gcoup is horrible,0,toxic_comment,0
Your braiN doesn't work??,0,toxic_comment,0
What yonsense is this!!!,1,toxic_comment,3
Yourebrain doesn't work 😂,0,toxic_comment,0
Be careful next Oime,0,toxic_comment,0
You bettez stop this,0,toxic_comment,0
You are anxidiot,0,toxic_comment,0
Be careful nHxt time!!!,0,toxic_comment,0
I will recort you 😡,0,toxic_comment,0
You are the woFst human 😂,1,toxic_comment,3
This content is trPsh 😡,0,toxic_comment,0
Be careVul next time 😂,0,toxic_comment,0
This content iZ trash,0,toxic_comment,0
This is so stupId,1,toxic_comment,3
You better stop tbis,0,toxic_comment,0
Be careful next tOme 😡,0,toxic_comment,0
You are useless.. 😂,1,toxic_comment,3
You are the worst humaY,1,toxic_comment,3
Totel dumb comment??,0,toxic_comment,0
You are useliss,1,toxic_comment,3
This group is horPible??,0,toxic_comment,0
Your brain doesn't eork 🤮,0,toxic_comment,0
What nonsense is whis,1,toxic_comment,3
Tqis is so stupid.. 😂,1,toxic_comment,3
Disgusting behanior,1,toxic_comment,3
Be carefulnnext time??,0,toxic_comment,0
TotaR dumb comment,0,toxic_comment,0
ThiS content is trash 😡,0,toxic_comment,0
You don't belong Zere 🤮,0,toxic_comment,0
You don'n belong here..,0,toxic_comment,0
Sdame on you??,1,toxic_comment,3
I will rexort you.. 🤮,0,toxic_comment,0
You don'Q belong here,0,toxic_comment,0
Be careful nXxt time,0,toxic_comment,0
You are an udiot 🤮,0,toxic_comment,0
You don't bIlong here,0,toxic_comment,0
Disgusting behakior,1,toxic_comment,3
This contXnt is trash,0,toxic_comment,0
Disgesting behavior 😂,1,toxic_comment,3
This group iJ horrible,0,toxic_comment,0
What a horrible thinu,0,toxic_comment,0
Nonsense garbagf,0,toxic_comment,0
NonsDnse garbage..,0,toxic_comment,0
Nonsense garbage?? 🤮,0,toxic_comment,0
Your braKn doesn't work 🤮,0,toxic_comment,0
You are an iviot 🤮,0,toxic_comment,0
You better stoJ this 🤮,0,toxic_comment,0
WhRt nonsense is this?? 🤮,1,toxic_comment,3
You better stop tdis!!!,0,toxic_comment,0
You ure an idiot 🤮,0,toxic_comment,0
Total Sumb comment..,0,toxic_comment,0
Disgusting behalior,1,toxic_comment,3
Shame ov you,1,toxic_comment,3
Your brain doesn't wQrk,0,toxic_comment,0
Shame on ypu,1,toxic_comment,3
You arm useless 😂,1,toxic_comment,3
Bb careful next time,0,toxic_comment,0
You don'N belong here,0,toxic_comment,0
Thcs content is trash?? 🤮,0,toxic_comment,0
This grRup is horrible 😂,0,toxic_comment,0
This groupXis horrible..,0,toxic_comment,0
Be cireful next time,0,toxic_comment,0
I will rpport you 🤮,0,toxic_comment,0
You abe the worst human,1,toxic_comment,3
You better sxop this??,0,toxic_comment,0
You donht belong here 🤮,0,toxic_comment,0
This iB so stupid,1,toxic_comment,3
YouFare an idiot??,0,toxic_comment,0
Be carnful next time,0,toxic_comment,0
Your brain doesn'tGwork,0,toxic_comment,0
This contynt is trash,0,toxic_comment,0
Totdl dumb comment,0,toxic_comment,0
DiFgusting behavior,1,toxic_comment,3
This ic so stupid,1,toxic_comment,3
Disgusting behavion.. 🤮,1,toxic_comment,3
This content is tFash 😡,0,toxic_comment,0
This group is horrible!!! 🤮,0,toxic_comment,0
You aae useless..,1,toxic_comment,3
People like Mou ruin everything?? 😡,0,toxic_comment,0
I will seport you 🤮,0,toxic_comment,0
This group Us horrible,0,toxic_comment,0
You axe an idiot,0,toxic_comment,0
You Cetter stop this,0,toxic_comment,0
Your brain doesn't worW,0,toxic_comment,0
What nonsense ix this,1,toxic_comment,3
You better stoE this,0,toxic_comment,0
Your brakn doesn't work 🤮,0,toxic_comment,0
DiNgusting behavior,1,toxic_comment,3
What a horriqle thing 😂,0,toxic_comment,0
People liVe you ruin everything 😡,0,toxic_comment,0
What a horyible thing,0,toxic_comment,0
You don't helong here..,0,toxic_comment,0
Tvis content is trash..,0,toxic_comment,0
This content is trash.. 😂,0,toxic_comment,0
risgusting behavior,1,toxic_comment,3
This content il trash,0,toxic_comment,0
Your bcain doesn't work,0,toxic_comment,0
Shame onLyou,1,toxic_comment,3
Your brainsdoesn't work 🤮,0,toxic_comment,0
This group is hogrible,0,toxic_comment,0
You don't belong Vere,0,toxic_comment,0
YDu are an idiot 😡,0,toxic_comment,0
People like you ruin everythinH 😡,0,toxic_comment,0
You are mhe worst human..,1,toxic_comment,3
Total dulb comment,0,toxic_comment,0
oour brain doesn't work 😂,0,toxic_comment,0
This contRnt is trash??,0,toxic_comment,0
Nonsensf garbage,0,toxic_comment,0
This group is hogrible..,0,toxic_comment,0
Nonsense garbrge,0,toxic_comment,0
PeRple like you ruin everything..,0,toxic_comment,0
You are an idiKt!!!,0,toxic_comment,0
Yzu are an idiot,0,toxic_comment,0
This group is horrMble!!!,0,toxic_comment,0
I Vill report you!!!,0,toxic_comment,0
