sentence,hate,category,is_harassment,harassment_type,severity,confidence_score
Tmi ki ba bujho 🤮,1,English,yes,hate_speech,5,0.84
Tmi ki ba bujho,1,English,yes,hate_speech,3,0.98
Tmi ki oa bujho... 😂,1,English,yes,hate_speech,5,0.93
Eta pura nonsense,1,Mixed,yes,hate_speech,5,0.89
Eta pura nonsense 😤,1,English,yes,hate_speech,3,0.79
Tmi ki bm bujho 😡,1,Mixed,yes,hate_speech,3,0.79
EtJ pura nonsense,1,Bangla,yes,hate_speech,5,0.76
Tmi ki ba bujho!!!,1,Bangla,yes,hate_speech,4,0.96
Eta pura nonsense,1,Mixed,yes,hate_speech,5,0.89
Eta pura nonseyse,1,Bangla,yes,hate_speech,5,0.92
Tmi ki ba bujho,1,Mixed,yes,hate_speech,5,0.75
You are so Rtupid,1,English,yes,hate_speech,5,0.98
Eta Eura nonsense!!!,1,English,yes,hate_speech,3,0.95
You are so stupin??,1,English,yes,hate_speech,5,0.8
YouJare so stupid 😤,1,Bangla,yes,bullying,4,0.79
Eta pura nonseQse??,1,Mixed,yes,hate_speech,3,0.79
Tmi ki ba bujho??,1,Mixed,yes,hate_speech,4,0.82
Tmi ki ba bujho,1,Mixed,yes,hate_speech,4,0.88
Tmi ki ba bujho,1,Bangla,yes,hate_speech,4,0.85
You are so stupid 🤮,1,Mixed,yes,bullying,4,0.82
Tmi ki ba bujho,1,Bangla,yes,hate_speech,3,0.9
You are so stupid,1,English,yes,bullying,3,0.78
You are so stupid!!!,1,Bangla,yes,bullying,4,0.82
Tmi ki ba bujho 😂,1,English,yes,hate_speech,4,0.84
Tmi ki ba bujho?? 😂,1,Mixed,yes,hate_speech,3,0.86
Tmi ki ba bujho...,1,Bangla,yes,hate_speech,3,0.94
vou are so stupid??,1,English,yes,bullying,3,0.8
You are so stupid 😡,1,Bangla,yes,bullying,5,0.87
Eta pura nonsense??,1,Mixed,yes,hate_speech,5,0.89
You are so stupid,1,Mixed,yes,bullying,5,0.76
You are so stupid,1,English,yes,bullying,4,0.9
EtaZpura nonsense,1,Bangla,yes,hate_speech,5,0.79
ESa pura nonsense 🤮,1,Mixed,yes,hate_speech,4,0.77
Eta pura nonsense,1,Bangla,yes,hate_speech,4,0.98
You are so stuFid,1,Mixed,yes,hate_speech,5,0.98
You are so stupid... 😡,1,Bangla,yes,bullying,4,0.94
Eta pura nonsense,1,Bangla,yes,hate_speech,5,0.82
Eta pura nonsense,1,English,yes,hate_speech,5,0.77
You are so stupid,1,Mixed,yes,bullying,3,0.91
Eta Jura nonsense!!! 🤮,1,Bangla,yes,hate_speech,5,0.86
You are so stupid,1,Bangla,yes,bullying,3,0.78
