sentence,hate,harassment_type,severity
You are so stupii,1,banglish_comment,3
BaSe kotha bolba na!!!,0,banglish_comment,0
Tmi ki ba bujhx!!!,1,banglish_comment,3
Gou are disgusting 😤,1,banglish_comment,3
Ki jhafela ekta! 🤮,0,banglish_comment,0
This conment is trash,0,banglish_comment,0
This cuntent is trash,0,banglish_comment,0
Baje kotha Wolba na... 😡,0,banglish_comment,0
People likeWyou ruin everything,0,banglish_comment,0
Tmi gi ba bujho 😡,1,banglish_comment,3
ai group er lokjon valo na,0,banglish_comment,0
Next time cQreful! 😤,0,banglish_comment,0
YouTbetter stop this now,0,banglish_comment,0
Tomader e ja obosRha!!!,0,banglish_comment,0
Erokom lokjon socYety noshto kore,1,banglish_comment,3
EiDgroup er lokjon valo na... 😤,0,banglish_comment,0
Ki jhameka ekta!,0,banglish_comment,0
Eta pura nonsensY 😤,1,banglish_comment,3
Ei group pr lokjon valo na 😤,0,banglish_comment,0
People like you ruin Yverything,0,banglish_comment,0
Erokom abar korle dtkhe nebo 🤮,0,banglish_comment,0
Ei group er lokjon valo na!!! 😤,0,banglish_comment,0
Ew group er lokjon valo na 🤮,0,banglish_comment,0
Erokom abarQkorle dekhe nebo 😤,0,banglish_comment,0
You are brwinless,0,banglish_comment,0
People uike you ruin everything,0,banglish_comment,0
You wre disgusting 🤮,1,banglish_comment,3
Tmi ki ba buHho,1,banglish_comment,3
This content is tpash... 😡,0,banglish_comment,0
Erokom lokjon socDety noshto kore,1,banglish_comment,3
Tumi eAta idiot... 😂,0,banglish_comment,0
Erokqm lokjon society noshto kore 🤮,1,banglish_comment,3
Next time carUful!??,0,banglish_comment,0
Tomadfr e ja obostha,0,banglish_comment,0
Tuei ekta idiot 😡,0,banglish_comment,0
Bajc kotha bolba na,0,banglish_comment,0
Erokom abar korle dekhe Debo,0,banglish_comment,0
You better stopUthis now!!!,0,banglish_comment,0
Erokom lokjon society nEshto kore??,1,banglish_comment,3
Tmi ki ba bujao,1,banglish_comment,3
Baje ootha bolba na!!!,0,banglish_comment,0
Baje kotha bolba na!!! 😂,0,banglish_comment,0
Tmi Ki ba bujho 😡,1,banglish_comment,3
EtK pura nonsense,1,banglish_comment,3
YouLare so stupid,1,banglish_comment,3
Efokom abar korle dekhe nebo...,0,banglish_comment,0
This coPtent is trash 😂,0,banglish_comment,0
Erokom abaW korle dekhe nebo,0,banglish_comment,0
People like you ruin everythWng,0,banglish_comment,0
Tumi ekta idiSt 🤮,0,banglish_comment,0
Tomar moton noob ar nai!!!,0,banglish_comment,0
Erokom abar korle dekhe nHbo 😤,0,banglish_comment,0
ThGs content is trash,0,banglish_comment,0
Exa pura nonsense 😡,1,banglish_comment,3
Tmi bi ba bujho,1,banglish_comment,3
You are brainlesv,0,banglish_comment,0
Next time carefuy!!!! 😂,0,banglish_comment,0
Tomader e ja obostoa... 😤,0,banglish_comment,0
Tmi ki ba bunho 😂,1,banglish_comment,3
Baje lotha bolba na,0,banglish_comment,0
Tomar moton noob ar nYi,0,banglish_comment,0
This content isVtrash!!!,0,banglish_comment,0
Tomi ekdom worst manuP...,1,banglish_comment,3
Tmi ki bN bujho,1,banglish_comment,3
Baje kotha bolba na!!! 😡,0,banglish_comment,0
Ki yhamela ekta!,0,banglish_comment,0
You betteX stop this now!!! 😡,0,banglish_comment,0
Next timercareful!...,0,banglish_comment,0
TomMr moton noob ar nai??,0,banglish_comment,0
Ki jhamela ekta! 🤮,0,banglish_comment,0
Tpmar moton noob ar nai??,0,banglish_comment,0
You aZe so stupid,1,banglish_comment,3
Ei group er lokjCn valo na 😤,0,banglish_comment,0
Next time carefulx!!! 😂,0,banglish_comment,0
Baje kXtha bolba na!!!,0,banglish_comment,0
Tomi ekdom woMst manus!!!,1,banglish_comment,3
Ki jhamela ektaw,0,banglish_comment,0
Erokom rbar korle dekhe nebo 😤,0,banglish_comment,0
This content is tYash,0,banglish_comment,0
Tobar moton noob ar nai,0,banglish_comment,0
Ami ki ba bujho,1,banglish_comment,3
momader e ja obostha??,0,banglish_comment,0
Next time careQul!,0,banglish_comment,0
TomarCmoton noob ar nai...,0,banglish_comment,0
Baje kotha bolbe na,0,banglish_comment,0
People like you ruin kverything,0,banglish_comment,0
Ei groupder lokjon valo na,0,banglish_comment,0
Yob are so stupid,1,banglish_comment,3
Cext time careful!?? 😤,0,banglish_comment,0
Erokom abar korle dwkhe nebo 😤,0,banglish_comment,0
Tomi ekdom worst manos 😂,1,banglish_comment,3
Erokom abar korae dekhe nebo,0,banglish_comment,0
Ei group er lozjon valo na 😡,0,banglish_comment,0
Tomi ekddm worst manus,1,banglish_comment,3
Tomi ekdom worstzmanus!!!,1,banglish_comment,3
ErokoD abar korle dekhe nebo??,0,banglish_comment,0
KN jhamela ekta!...,0,banglish_comment,0
People like you Fuin everything,0,banglish_comment,0
You betterpstop this now,0,banglish_comment,0
Ei group er lokjon vaoo na,0,banglish_comment,0
Tumi skta idiot,0,banglish_comment,0
Tomar moton noob ar nei 😂,0,banglish_comment,0
Erokom abar kkrle dekhe nebo 😡,0,banglish_comment,0
TomadTr e ja obostha,0,banglish_comment,0
You arU disgusting,1,banglish_comment,3
YGu are brainless!!!,0,banglish_comment,0
Baje kotha bolbJ na??,0,banglish_comment,0
You bbtter stop this now 😂,0,banglish_comment,0
Erokom lokjon socieKy noshto kore...,1,banglish_comment,3
Erokom lokjon sXciety noshto kore... 🤮,1,banglish_comment,3
TEmi ekta idiot...,0,banglish_comment,0
PeoplU like you ruin everything,0,banglish_comment,0
Next time eareful!?? 😤,0,banglish_comment,0
Youtare brainless 😤,0,banglish_comment,0
Ki jhamela ewta!!!! 🤮,0,banglish_comment,0
Tmi kiCba bujho,1,banglish_comment,3
Tomar moton noob ah nai,0,banglish_comment,0
This contenI is trash... 🤮,0,banglish_comment,0
People like you ruin everythiPg 😡,0,banglish_comment,0
You are braidless,0,banglish_comment,0
ThisEcontent is trash,0,banglish_comment,0
Tomar moton noob arhnai!!! 😤,0,banglish_comment,0
You are so stugid,1,banglish_comment,3
Ki jhamelajekta!!!!,0,banglish_comment,0
Erokom lokjon society nhshto kore...,1,banglish_comment,3
Tmi ki ba bujhW 😤,1,banglish_comment,3
People like you ruih everything,0,banglish_comment,0
You better stop thisxnow...,0,banglish_comment,0
Next time carefulY,0,banglish_comment,0
KiEjhamela ekta!,0,banglish_comment,0
You are disgusting... 😂,1,banglish_comment,3
Eta pura nonPense...,1,banglish_comment,3
People like you ruin Vverything,0,banglish_comment,0
People like you ruin Nverything,0,banglish_comment,0
EroHom abar korle dekhe nebo!!! 🤮,0,banglish_comment,0
Erokom lokjon society nosJto kore,1,banglish_comment,3
Tomar moton noob ar naL 😂,0,banglish_comment,0
People like you ruin everythikg 😂,0,banglish_comment,0
Youzare disgusting,1,banglish_comment,3
Eta pura nonsenMe,1,banglish_comment,3
